genome,completeness,contamination,length,N50
TOBG_ARS-733.fna,51.57,4.39,3484276,9527
TOBG_ARS-73.fna,72.43,0.93,953131,16541
TOBG_ARS-72.fna,54.75,0.93,919306,20414
TOBG_ARS-75.fna,97.41,7.37,4267059,48290
TOBG_ARS-71.fna,93.47,1.37,2375844,49784
TOBG_ARS-70.fna,91.09,0.5,3078773,44013
TOBG_ARS-7.fna,97.75,2.72,3736607,94554
TOBG_ARS-69.fna,55.49,1.1,1677153,22804
TOBG_ARS-68.fna,88.71,1.08,2822307,109679
TOBG_ARS-67.fna,89.56,2.4,4278577,17800
TOBG_ARS-66.fna,85.68,4.52,4881411,21544
TOBG_ARS-65.fna,80.68,0.57,7803558,20605
TOBG_ARS-64.fna,66.43,0.0,3488409,21717
TOBG_ARS-63.fna,89.08,3.41,3573888,29334
TOBG_ARS-62.fna,82.04,2.29,3172120,16359
TOBG_ARS-61.fna,83.27,2.35,5339246,12287
TOBG_ARS-60.fna,82.8,1.6,2201713,43180
TOBG_ARS-6.fna,63.1,0.0,2186662,18255
TOBG_ARS-59.fna,94.86,4.35,2557521,51399
TOBG_ARS-58.fna,65.82,1.44,1075161,17914
TOBG_ARS-57.fna,58.8,1.12,1514533,20288
TOBG_ARS-56.fna,55.18,0.0,667222,29832
TOBG_ARS-55.fna,54.09,1.98,2177444,12248
TOBG_ARS-54.fna,69.16,0.0,1583783,16900
TOBG_ARS-52.fna,71.78,0.42,1116120,70345
TOBG_ARS-51.fna,98.81,7.14,7646207,115470
TOBG_ARS-50.fna,61.77,0.0,789167,17795
TOBG_ARS-5.fna,88.73,2.37,5608188,21974
TOBG_ARS-49.fna,72.66,0.0,1087504,27688
TOBG_ARS-48.fna,63.79,0.0,1441037,45772
TOBG_ARS-47.fna,58.4,0.0,1166072,49430
TOBG_ARS-46.fna,82.32,4.27,2797022,57626
TOBG_ARS-45.fna,78.52,0.89,2895142,15490
TOBG_ARS-44.fna,53.44,0.0,1199300,13146
TOBG_ARS-43.fna,64.8,0.8,918203,24658
TOBG_ARS-42.fna,90.6,2.56,2344814,68408
TOBG_ARS-41.fna,58.79,1.98,2021609,15784
TOBG_ARS-40.fna,97.79,0.68,3949698,86692
TOBG_ARS-4.fna,94.96,3.36,1794382,278926
TOBG_ARS-38.fna,98.28,6.9,6172162,190325
TOBG_ARS-37.fna,60.75,1.64,2503752,14697
TOBG_ARS-36.fna,68.06,1.94,1941877,106385
TOBG_ARS-35.fna,60.19,0.84,2083907,13954
TOBG_ARS-34.fna,88.12,2.97,3475445,39269
TOBG_ARS-33.fna,84.35,1.32,1970780,27617
TOBG_ARS-31.fna,85.24,4.13,4285735,31855
TOBG_ARS-30.fna,81.99,1.35,1842633,19780
TOBG_ARS-3.fna,97.95,3.32,4499202,353444
TOBG_ARS-29.fna,95.73,7.32,2266513,62528
TOBG_ARS-27.fna,86.43,3.84,1570280,19558
TOBG_ARS-26.fna,50.79,0.93,1626232,11239
TOBG_ARS-25.fna,50.86,1.72,1692370,11857
TOBG_ARS-24.fna,89.41,4.98,2473458,22174
TOBG_ARS-23.fna,57.32,0.0,3970403,21010
TOBG_ARS-22.fna,68.71,1.7,2998056,13153
TOBG_ARS-21.fna,52.8,0.0,1801789,9455
TOBG_ARS-20.fna,61.36,0.86,3978387,50741
TOBG_ARS-2.fna,62.8,1.06,2885141,23095
TOBG_ARS-19.fna,68.36,0.39,1431041,13196
TOBG_ARS-17.fna,95.73,6.25,4716224,88603
TOBG_ARS-16.fna,94.61,3.14,3159885,28407
TOBG_ARS-15.fna,97.85,2.69,5071824,97315
TOBG_ARS-1441.fna,77.57,0.0,857738,17470
TOBG_ARS-1434.fna,75.31,0.0,5822363,27159
TOBG_ARS-1427.fna,72.43,0.0,551902,49485
TOBG_ARS-1426.fna,90.6,1.28,1849034,78225
TOBG_ARS-1420.fna,51.44,0.0,516264,50711
TOBG_ARS-1419.fna,72.04,0.93,925456,28579
TOBG_ARS-1414.fna,73.36,1.87,819095,15001
TOBG_ARS-1403.fna,65.42,0.0,775340,42124
TOBG_ARS-14.fna,73.14,1.79,3155122,16182
TOBG_ARS-1394.fna,51.82,2.07,817263,29033
TOBG_ARS-1386.fna,72.31,1.12,735221,45093
TOBG_ARS-1360.fna,84.77,0.0,591505,52728
TOBG_ARS-1358.fna,89.72,1.87,666542,79789
TOBG_ARS-1334.fna,64.09,0.93,1145350,15963
TOBG_ARS-1333.fna,55.09,2.3,1077780,19234
TOBG_ARS-1330.fna,85.48,0.99,1330181,46014
TOBG_ARS-1318.fna,53.66,2.8,557092,43369
TOBG_ARS-1310.fna,54.85,1.85,1156375,17100
TOBG_ARS-1309.fna,59.5,2.8,591970,50771
TOBG_ARS-1307.fna,74.69,0.93,745175,90796
TOBG_ARS-1301.fna,65.42,0.0,435653,17181
TOBG_ARS-13.fna,97.32,4.46,3792666,93829
TOBG_ARS-1298.fna,52.41,0.0,775123,44949
TOBG_ARS-1297.fna,71.61,0.87,1323426,271703
TOBG_ARS-1290.fna,52.96,0.0,888027,120420
TOBG_ARS-1286.fna,67.76,0.0,605723,54460
TOBG_ARS-1285.fna,65.97,0.65,631855,16601
TOBG_ARS-1279.fna,79.43,3.24,2605961,41005
TOBG_ARS-125.fna,74.24,2.25,1051475,15045
TOBG_ARS-1246.fna,50.91,0.0,1495458,43926
TOBG_ARS-124.fna,50.48,3.3,1262153,32433
TOBG_ARS-123.fna,77.69,2.56,1860870,17964
TOBG_ARS-1224.fna,53.72,0.0,1584353,13081
TOBG_ARS-1215.fna,74.67,2.14,1446927,70792
TOBG_ARS-121.fna,66.71,3.61,2517591,13148
TOBG_ARS-1203.fna,74.3,0.93,1070288,50548
TOBG_ARS-120.fna,89.55,8.73,6237844,43865
TOBG_ARS-12.fna,55.28,1.72,4768229,21224
TOBG_ARS-1199.fna,86.21,0.0,912474,95926
TOBG_ARS-1193.fna,61.52,1.38,921363,17432
TOBG_ARS-1183.fna,59.08,1.1,901615,18196
TOBG_ARS-1180.fna,65.81,1.87,1043716,15076
TOBG_ARS-118.fna,50.4,3.2,1401415,12688
TOBG_ARS-1178.fna,64.64,1.87,606505,21872
TOBG_ARS-1176.fna,78.5,1.87,962007,37593
TOBG_ARS-1172.fna,61.84,0.0,630675,17954
TOBG_ARS-117.fna,73.85,3.41,2944567,16496
TOBG_ARS-1168.fna,75.41,0.0,1197590,36887
TOBG_ARS-1160.fna,69.24,0.93,803643,30380
TOBG_ARS-116.fna,62.23,4.07,3453939,10846
TOBG_ARS-115.fna,76.81,3.51,2466433,29090
TOBG_ARS-1134.fna,73.14,0.8,1358048,41522
TOBG_ARS-113.fna,50.86,2.05,3818776,11169
TOBG_ARS-1126.fna,53.97,0.0,433818,17146
TOBG_ARS-112.fna,91.38,8.62,3496537,220152
TOBG_ARS-11.fna,100.0,6.7,2876821,429745
TOBG_ARS-109.fna,63.82,4.21,632433,21389
TOBG_ARS-108.fna,67.13,4.67,848138,14976
TOBG_ARS-106.fna,68.69,1.87,1037583,70415
TOBG_ARS-105.fna,62.04,1.37,1806691,13280
TOBG_ARS-1043.fna,62.41,3.0,2802518,13225
TOBG_ARS-1041.fna,52.32,3.74,518295,11666
TOBG_ARS-104.fna,71.69,1.03,3826825,12948
TOBG_ARS-1039.fna,68.64,2.85,1524909,15711
TOBG_ARS-1037.fna,74.52,4.13,2757606,39485
TOBG_ARS-1036.fna,93.52,5.71,2845516,31600
TOBG_ARS-1035.fna,65.2,2.2,3967361,28336
TOBG_ARS-1034.fna,90.29,5.21,1862734,38545
TOBG_ARS-1033.fna,55.19,2.35,2623277,13297
TOBG_ARS-1032.fna,91.84,6.52,4311850,21107
TOBG_ARS-1030.fna,90.6,6.32,2624467,29545
TOBG_ARS-103.fna,60.98,0.93,1208689,21710
TOBG_ARS-1029.fna,50.52,2.2,2005821,11741
TOBG_ARS-1028.fna,52.43,4.61,765113,12168
TOBG_ARS-1026.fna,57.43,3.61,983187,45759
TOBG_ARS-1025.fna,69.2,2.4,1204375,30769
TOBG_ARS-1024.fna,51.82,3.28,2465608,32379
TOBG_ARS-1023.fna,50.48,2.3,2133908,47760
TOBG_ARS-1020.fna,55.1,2.59,995367,13189
TOBG_ARS-102.fna,84.03,0.0,864511,56427
TOBG_ARS-1019.fna,88.66,5.9,2260210,51072
TOBG_ARS-1018.fna,76.79,3.27,1897616,17833
TOBG_ARS-1016.fna,52.66,3.01,540117,10757
TOBG_ARS-1015.fna,64.25,3.84,2488532,15087
TOBG_ARS-1013.fna,59.98,4.55,869590,12853
TOBG_ARS-1012.fna,91.25,6.81,3364764,43231
TOBG_ARS-1011.fna,51.34,2.11,1233811,15833
TOBG_ARS-101.fna,65.6,1.74,1594710,16911
TOBG_ARS-1009.fna,80.9,9.11,3161987,32200
TOBG_ARS-1008.fna,57.59,2.36,915697,13257
TOBG_ARS-1007.fna,69.59,2.43,2102563,28408
TOBG_ARS-1005.fna,54.3,4.8,1643086,12206
TOBG_ARS-1004.fna,72.61,3.89,1523715,20382
TOBG_ARS-100.fna,72.06,1.78,1794751,21801
TOBG_ARS-10.fna,52.96,0.0,6604953,13786
TOBG_ARS-1.fna,97.19,9.64,1300718,30360
TOBG_MED-755.fna,65.48,0.43,1693597,61574
TOBG_MED-754.fna,72.59,1.91,1863951,43788
TOBG_MED-753.fna,76.94,1.14,1158543,65177
TOBG_MED-752.fna,94.79,2.97,2544706,226054
TOBG_MED-745.fna,80.24,1.68,3122797,18715
TOBG_MED-743.fna,82.93,4.0,1937646,44000
TOBG_MED-740.fna,78.96,1.94,945636,32293
TOBG_MED-739.fna,95.77,5.41,1312757,49477
TOBG_MED-732.fna,80.34,4.61,1594489,32535
TOBG_MED-730.fna,90.94,3.18,1478775,41153
TOBG_MED-728.fna,98.1,1.27,5163516,161090
TOBG_MED-727.fna,61.45,1.2,503620,32957
TOBG_MED-725.fna,72.19,0.0,1365803,118918
TOBG_MED-724.fna,54.39,0.0,652455,15329
TOBG_MED-742.fna,50.38,1.81,488599,14788
TOBG_MED-723.fna,51.66,0.0,814913,12600
TOBG_MED-722.fna,53.8,0.0,677037,11073
TOBG_MED-721.fna,77.47,1.1,1717845,46047
TOBG_MED-719.fna,86.49,2.27,4083318,165518
TOBG_MED-620.fna,91.09,1.75,2975145,55246
TOBG_MED-717.fna,86.02,4.35,1636955,81903
TOBG_MED-716.fna,95.85,0.5,3026532,224842
TOBG_MED-715.fna,94.51,1.1,1307145,36261
TOBG_MED-714.fna,63.74,1.1,1155715,66824
TOBG_MED-711.fna,65.2,0.68,2201132,16471
TOBG_MED-709.fna,54.2,0.31,920759,91035
TOBG_MED-708.fna,94.32,4.08,3470013,30393
TOBG_MED-707.fna,75.2,0.0,1679080,29043
TOBG_MED-705.fna,74.53,0.0,1807504,36045
TOBG_MED-704.fna,88.97,0.0,1381658,55811
TOBG_MED-703.fna,90.91,3.41,1937263,31039
TOBG_MED-702.fna,93.99,2.87,3141579,35583
TOBG_MED-701.fna,54.94,0.74,1070761,25427
TOBG_MED-700.fna,59.28,0.0,1401078,16032
TOBG_MED-699.fna,54.67,1.6,1226083,16386
TOBG_MED-698.fna,89.88,2.53,3208409,59504
TOBG_MED-697.fna,88.6,4.71,7781614,34947
TOBG_MED-694.fna,83.61,0.84,1611850,23603
TOBG_MED-692.fna,92.2,1.08,2388848,40344
TOBG_MED-690.fna,90.51,1.88,2419185,106385
TOBG_MED-689.fna,84.62,3.3,1356840,27267
TOBG_MED-688.fna,58.58,1.97,2090813,13537
TOBG_MED-687.fna,65.68,1.99,1339700,29502
TOBG_MED-686.fna,53.27,1.8,693759,12834
TOBG_MED-685.fna,59.8,0.57,1175129,64804
TOBG_MED-683.fna,63.34,0.0,1056506,16479
TOBG_MED-682.fna,83.15,3.7,2597858,26525
TOBG_MED-681.fna,61.52,0.0,3404599,17658
TOBG_MED-680.fna,50.67,0.93,1281139,12537
TOBG_MED-678.fna,56.74,0.8,1618706,14110
TOBG_MED-675.fna,64.08,1.41,2537129,17237
TOBG_MED-674.fna,89.97,3.5,3481335,28322
TOBG_MED-672.fna,81.24,4.84,4043459,26246
TOBG_MED-670.fna,70.57,1.69,1303801,52286
TOBG_MED-669.fna,55.94,1.3,1799853,15666
TOBG_MED-668.fna,92.78,1.68,4366947,68219
TOBG_MED-667.fna,78.11,1.12,1711098,21872
TOBG_MED-665.fna,96.09,2.46,4964254,39645
TOBG_MED-664.fna,59.13,0.44,1732489,47159
TOBG_MED-663.fna,54.31,0.86,761373,11955
TOBG_MED-662.fna,60.68,0.91,1003870,15428
TOBG_MED-661.fna,97.58,2.35,7093371,73101
TOBG_MED-660.fna,90.65,1.94,4558888,62714
TOBG_MED-657.fna,97.8,1.28,2028597,165270
TOBG_MED-656.fna,65.68,1.52,1477774,25307
TOBG_MED-653.fna,93.94,0.42,3491745,217677
TOBG_MED-652.fna,98.9,5.49,1685264,38666
TOBG_MED-650.fna,80.15,4.57,1803804,24584
TOBG_MED-649.fna,92.95,4.55,1361524,46682
TOBG_MED-648.fna,87.91,1.1,2229105,23277
TOBG_MED-647.fna,69.78,0.0,1585063,97392
TOBG_MED-646.fna,60.0,1.89,1794777,14873
TOBG_MED-644.fna,58.17,1.87,965815,14640
TOBG_MED-642.fna,53.19,1.61,928230,13218
TOBG_MED-641.fna,88.45,1.68,1402833,49369
TOBG_MED-640.fna,50.66,0.81,2226990,14445
TOBG_MED-639.fna,56.43,1.1,817852,13554
TOBG_MED-638.fna,58.06,1.61,1007396,14420
TOBG_MED-636.fna,82.04,4.76,2959024,32368
TOBG_MED-635.fna,75.74,0.68,2720828,26900
TOBG_MED-634.fna,53.58,1.76,1671198,23016
TOBG_MED-633.fna,98.42,0.88,3500593,55033
TOBG_MED-631.fna,66.03,0.85,2049471,13080
TOBG_MED-630.fna,83.56,2.19,1285346,23880
TOBG_MED-628.fna,50.85,0.85,532866,28047
TOBG_MED-626.fna,80.2,2.1,1193441,23640
TOBG_MED-625.fna,62.67,2.0,1441770,16763
TOBG_MED-624.fna,99.45,5.03,3706908,306938
TOBG_MED-621.fna,91.4,2.47,2236066,32654
TOBG_MED-618.fna,57.79,1.75,619612,13976
TOBG_MED-617.fna,94.51,4.52,1380858,31959
TOBG_MED-616.fna,85.78,3.27,2163699,51815
TOBG_MED-615.fna,76.71,1.12,1657217,30889
TOBG_MED-612.fna,58.09,1.32,1074574,15257
TOBG_MED-611.fna,79.3,1.33,2063334,21957
TOBG_MED-610.fna,87.34,2.55,3904643,51041
TOBG_MED-608.fna,81.76,2.84,2883302,30906
TOBG_MED-607.fna,66.99,1.91,1452598,17784
TOBG_MED-606.fna,70.2,0.0,871689,14081
TOBG_MED-605.fna,91.57,3.61,1605601,33183
TOBG_MED-604.fna,90.64,3.35,2479522,68623
TOBG_MED-603.fna,84.85,2.24,2098250,25565
TOBG_MED-602.fna,96.43,2.38,1879045,64415
TOBG_MED-599.fna,94.44,4.4,4811953,28937
TOBG_MED-595.fna,85.39,1.74,2124773,19179
TOBG_MED-592.fna,88.76,2.72,3852236,24550
TOBG_MED-589.fna,95.6,3.85,2909735,62825
TOBG_MED-587.fna,99.13,0.0,3619760,2086508
TOBG_MED-586.fna,74.31,0.0,1567670,17405
TOBG_MED-585.fna,85.02,3.41,2035001,32862
TOBG_MED-584.fna,72.96,1.11,1836176,53264
TOBG_MED-583.fna,60.82,1.08,2311172,16212
TOBG_MED-581.fna,75.83,1.37,2357711,22747
TOBG_MED-580.fna,80.92,4.01,4534432,24835
TOBG_MED-569.fna,54.7,4.35,1687286,13688
TOBG_MED-798.fna,66.09,4.51,1091238,25537
TOBG_MED-215.fna,50.09,4.01,1338917,13258
TOBG_MED-211.fna,52.0,3.2,1183444,12006
TOBG_MED-203.fna,57.3,4.31,936231,14010
TOBG_MED-195.fna,56.63,2.31,1306460,16742
TOBG_MED-191.fna,51.04,3.19,892427,12913
TOBG_MED-139.fna,52.4,1.09,1040841,12171
TOBG_MED-613.fna,70.0,1.67,1707159,16103
TOBG_MED-1261.fna,78.93,4.06,1324308,22084
TOBG_MED-1257.fna,69.45,3.73,2051376,16563
TOBG_MED-1250.fna,50.57,3.07,707330,16319
TOBG_MED-124.fna,51.66,3.84,949968,18110
TOBG_MED-1227.fna,83.27,6.81,2077567,29528
TOBG_MED-1222.fna,55.36,0.37,688871,17891
TOBG_MED-1190.fna,89.75,8.28,1861042,53051
TOBG_MED-1178.fna,50.48,4.3,950926,14187
TOBG_MED-1153.fna,84.9,6.02,1024810,21202
TOBG_MED-1131.fna,55.51,2.83,1030045,30715
TOBG_MED-1116.fna,86.9,1.19,870948,49855
TOBG_MED-1094.fna,86.81,6.09,1650114,89526
TOBG_MED-1093.fna,84.93,7.47,2110723,110700
TOBG_MED-1079.fna,65.87,2.91,1972752,42390
TOBG_MED-105.fna,61.36,1.59,966148,15766
TOBG_MED-1046.fna,52.62,0.0,663476,28033
TOBG_MED-104.fna,70.41,2.91,868752,12239
TOBG_MED-1036.fna,57.89,3.51,1034853,42535
TOBG_MED-1008.fna,80.17,9.56,1858573,30247
TOBG_MED-1003.fna,58.31,4.82,710250,17613
TOBG_MED-1001.fna,81.58,5.19,1517519,57356
TOBG_IN-961.fna,72.4,0.8,1504529,22216
TOBG_IN-930.fna,53.37,2.4,1324939,8946
TOBG_IN-929.fna,73.78,4.83,2243478,13149
TOBG_IN-928.fna,87.08,6.38,3042430,28205
TOBG_IN-926.fna,61.08,4.44,1834376,8019
TOBG_IN-924.fna,92.31,8.12,1977255,50168
TOBG_IN-922.fna,71.21,2.5,3362957,10574
TOBG_IN-921.fna,85.61,6.08,2381509,26260
TOBG_IN-919.fna,73.08,4.13,2072187,15909
TOBG_IN-918.fna,72.0,4.8,1362085,44260
TOBG_IN-913.fna,64.8,4.06,1306490,17168
TOBG_IN-912.fna,73.45,3.44,3530789,10407
TOBG_IN-9.fna,87.23,1.52,3250345,15675
TOBG_IN-8.fna,97.25,3.9,4158998,32140
TOBG_IN-6.fna,99.54,7.76,5207492,60355
TOBG_IN-5.fna,100.0,5.14,3129546,236715
TOBG_IN-49.fna,57.62,0.0,1182981,8645
TOBG_IN-48.fna,94.59,4.39,2881995,33175
TOBG_IN-47.fna,82.56,3.17,2211714,12279
TOBG_IN-46.fna,63.25,1.6,1610604,12040
TOBG_IN-45.fna,66.57,0.65,2095383,12792
TOBG_IN-44.fna,68.62,1.3,1667453,13857
TOBG_IN-43.fna,86.86,2.07,1937213,33716
TOBG_IN-42.fna,87.12,0.0,2564331,22184
TOBG_IN-41.fna,55.6,1.48,1406305,13672
TOBG_IN-40.fna,81.22,0.51,2046638,10140
TOBG_IN-4.fna,62.71,1.46,2624429,8088
TOBG_IN-39.fna,59.82,1.56,1124445,21782
TOBG_IN-38.fna,58.89,0.71,2099898,8763
TOBG_IN-37.fna,71.64,0.93,1722451,14199
TOBG_IN-36.fna,68.47,0.86,2001208,7794
TOBG_IN-35.fna,84.13,2.8,1984466,32599
TOBG_IN-34.fna,56.14,1.33,1122040,12620
TOBG_IN-33.fna,63.87,0.8,1297553,12467
TOBG_IN-32.fna,85.42,3.99,3934638,26326
TOBG_IN-31.fna,51.81,0.0,1061796,9399
TOBG_IN-30.fna,53.49,1.05,1098843,7713
TOBG_IN-3.fna,99.21,0.41,3810898,39667
TOBG_IN-29.fna,93.93,0.69,3333257,73030
TOBG_IN-28.fna,98.28,2.82,3890003,388436
TOBG_IN-27.fna,71.5,0.27,2239064,9616
TOBG_IN-26.fna,63.45,1.74,1232646,9247
TOBG_IN-25.fna,95.71,2.15,2931884,50790
TOBG_IN-24.fna,50.64,1.65,1642963,6564
TOBG_IN-23.fna,83.4,2.74,3576760,10720
TOBG_IN-22.fna,98.7,3.08,2725312,140344
TOBG_IN-21.fna,98.7,0.43,3599778,220673
TOBG_IN-20.fna,96.7,7.75,3227423,75294
TOBG_IN-2.fna,84.01,1.54,4041355,13715
TOBG_IN-19.fna,98.01,3.48,4539979,69207
TOBG_IN-18.fna,100.0,8.46,4458856,91110
TOBG_IN-17.fna,97.58,0.0,3240799,85929
TOBG_IN-16.fna,81.74,3.3,2855862,10804
TOBG_IN-15.fna,81.91,3.04,2745037,10059
TOBG_IN-14.fna,98.27,6.32,4072573,106686
TOBG_IN-1311.fna,80.34,9.4,2592032,34766
TOBG_IN-13.fna,100.0,2.82,4878186,106766
TOBG_IN-1222.fna,69.73,2.4,1714270,22098
TOBG_IN-1219.fna,67.73,0.0,1602594,38998
TOBG_IN-1214.fna,67.52,1.28,1963834,341054
TOBG_IN-1213.fna,82.83,1.28,1920553,22455
TOBG_IN-12.fna,91.79,0.49,3065870,42021
TOBG_IN-11.fna,99.51,4.51,5809545,137020
TOBG_IN-1093.fna,58.62,2.3,1102279,70364
TOBG_IN-1073.fna,64.11,1.72,631723,8546
TOBG_IN-1003.fna,55.14,2.59,824098,11200
TOBG_IN-1000.fna,53.76,0.05,882272,12370
TOBG_IN-10.fna,99.61,0.0,3953385,618516
TOBG_IN-1.fna,83.1,1.83,3834435,15309
TOBG_EAC-98.fna,95.76,4.42,4023093,172292
TOBG_EAC-97.fna,80.45,2.65,2112212,81064
TOBG_EAC-96.fna,69.65,0.0,3348341,165107
TOBG_EAC-95.fna,99.5,2.75,2990433,217560
TOBG_EAC-94.fna,99.78,0.43,3800706,216328
TOBG_EAC-93.fna,95.62,1.67,2850945,279547
TOBG_EAC-92.fna,99.24,3.76,3752386,227777
TOBG_EAC-91.fna,95.54,1.74,4781580,300181
TOBG_EAC-90.fna,63.58,0.75,2640656,15607
TOBG_EAC-9.fna,89.74,2.99,2727227,35909
TOBG_EAC-89.fna,53.07,1.2,814077,10970
TOBG_EAC-88.fna,90.6,4.27,2860686,31885
TOBG_EAC-87.fna,85.46,1.24,5569343,21470
TOBG_EAC-86.fna,81.39,1.05,2369296,38677
TOBG_EAC-85.fna,93.92,1.88,3684756,27030
TOBG_EAC-84.fna,60.76,0.0,1052724,16511
TOBG_EAC-82.fna,63.28,1.72,1959193,18039
TOBG_EAC-81.fna,81.42,4.44,3412852,31374
TOBG_EAC-8.fna,51.35,0.93,1141499,13120
TOBG_EAC-79.fna,50.59,0.07,1385649,12012
TOBG_EAC-77.fna,100.0,0.0,3422461,348570
TOBG_EAC-76.fna,99.68,0.72,4265341,394672
TOBG_EAC-75.fna,88.02,4.6,2141569,31278
TOBG_EAC-74.fna,100.0,0.0,4460847,278682
TOBG_EAC-73.fna,94.52,1.53,4682890,42541
TOBG_EAC-723.fna,84.62,6.59,1528303,14858
TOBG_EAC-721.fna,50.08,4.98,783685,10772
TOBG_EAC-720.fna,57.88,3.2,1629258,11979
TOBG_EAC-72.fna,62.93,0.0,3240099,54305
TOBG_EAC-714.fna,79.87,3.43,1179781,14577
TOBG_EAC-713.fna,82.64,6.84,3008567,46391
TOBG_EAC-712.fna,69.13,4.48,2485060,14481
TOBG_EAC-710.fna,76.8,2.4,1830345,22529
TOBG_EAC-71.fna,93.69,3.94,4959295,31668
TOBG_EAC-709.fna,69.43,3.29,2611269,19185
TOBG_EAC-705.fna,59.84,2.2,806965,12538
TOBG_EAC-704.fna,57.12,3.5,984854,15978
TOBG_EAC-70.fna,64.32,0.0,1756946,17195
TOBG_EAC-7.fna,62.44,1.23,1069524,16607
TOBG_EAC-695.fna,89.26,9.87,3058097,90469
TOBG_EAC-694.fna,65.36,3.31,1441799,15880
TOBG_EAC-693.fna,64.03,2.48,2524787,17337
TOBG_EAC-692.fna,60.99,4.99,1431970,15699
TOBG_EAC-691.fna,73.3,4.37,921724,23040
TOBG_EAC-69.fna,95.69,0.82,4344709,196097
TOBG_EAC-685.fna,52.46,2.2,1177646,14684
TOBG_EAC-683.fna,85.98,7.62,5582452,22310
TOBG_EAC-682.fna,84.07,9.89,1784541,24608
TOBG_EAC-68.fna,88.51,4.03,3289833,21015
TOBG_EAC-678.fna,60.82,3.56,1474498,31097
TOBG_EAC-676.fna,80.11,8.06,1700100,18308
TOBG_EAC-675.fna,62.74,4.84,1226914,26771
TOBG_EAC-674.fna,74.21,3.85,1889561,19247
TOBG_EAC-673.fna,92.91,9.54,3137342,56594
TOBG_EAC-671.fna,66.79,3.05,1919848,25121
TOBG_EAC-670.fna,79.97,2.25,3260754,19903
TOBG_EAC-67.fna,51.38,1.72,2470315,15176
TOBG_EAC-663.fna,53.48,2.69,1074506,11845
TOBG_EAC-662.fna,93.24,5.47,4048905,60785
TOBG_EAC-660.fna,58.53,2.4,1260505,20544
TOBG_EAC-66.fna,98.73,3.85,4356736,84285
TOBG_EAC-659.fna,51.98,4.82,599395,16542
TOBG_EAC-657.fna,84.87,5.84,2189188,55695
TOBG_EAC-656.fna,60.35,4.14,951340,24103
TOBG_EAC-654.fna,89.5,7.14,3573524,28954
TOBG_EAC-653.fna,74.4,2.14,1350302,21252
TOBG_EAC-652.fna,55.42,2.94,872801,12213
TOBG_EAC-651.fna,68.97,4.89,901793,21182
TOBG_EAC-650.fna,91.4,5.58,1848353,24374
TOBG_EAC-65.fna,82.91,3.42,2147286,41587
TOBG_EAC-649.fna,77.29,2.81,1356014,27273
TOBG_EAC-647.fna,89.15,5.01,3116840,28368
TOBG_EAC-646.fna,90.65,9.18,3394999,28806
TOBG_EAC-645.fna,94.75,7.61,3555310,143726
TOBG_EAC-642.fna,71.73,2.06,1589897,30582
TOBG_EAC-641.fna,58.47,2.49,1388163,26201
TOBG_EAC-640.fna,62.83,4.95,1658144,13342
TOBG_EAC-64.fna,70.12,1.17,2952507,16767
TOBG_EAC-638.fna,57.05,3.45,1664802,21382
TOBG_EAC-637.fna,65.13,4.39,1051128,13353
TOBG_EAC-636.fna,52.37,3.27,971457,24452
TOBG_EAC-635.fna,87.85,8.34,2387925,27226
TOBG_EAC-634.fna,92.35,8.82,3166550,30027
TOBG_EAC-632.fna,92.01,8.62,3539278,183441
TOBG_EAC-631.fna,90.76,5.51,3358813,108253
TOBG_EAC-630.fna,59.91,4.3,1209072,12421
TOBG_EAC-63.fna,98.42,3.61,4678045,91542
TOBG_EAC-624.fna,91.21,7.69,1523529,30270
TOBG_EAC-623.fna,87.93,7.29,2532963,25753
TOBG_EAC-627.fna,90.67,9.02,2898758,34509
TOBG_EAC-615.fna,63.12,1.62,2289656,26804
TOBG_EAC-61.fna,58.62,0.0,3280460,27877
TOBG_EAC-60.fna,90.22,0.65,4818477,21996
TOBG_EAC-6.fna,90.26,2.79,3302700,63501
TOBG_EAC-59.fna,71.68,1.71,2187714,14399
TOBG_EAC-58.fna,96.79,0.99,3750272,68850
TOBG_EAC-57.fna,52.93,0.0,3026258,29447
TOBG_EAC-56.fna,91.5,1.08,3938918,25422
TOBG_EAC-55.fna,99.92,0.56,2890195,159146
TOBG_EAC-54.fna,70.88,0.87,3468351,17974
TOBG_EAC-53.fna,56.04,1.08,1397255,12929
TOBG_EAC-52.fna,99.42,0.28,3965636,244135
TOBG_EAC-51.fna,80.51,1.16,2296379,14596
TOBG_EAC-50.fna,97.81,1.35,4027594,80102
TOBG_EAC-5.fna,100.0,0.0,3240288,152022
TOBG_EAC-49.fna,99.76,0.0,3923695,123677
TOBG_EAC-48.fna,77.15,1.92,3221579,16318
TOBG_EAC-47.fna,96.81,5.99,3745012,305857
TOBG_EAC-46.fna,86.06,4.31,2576643,27752
TOBG_EAC-45.fna,99.59,2.85,4388938,176415
TOBG_EAC-44.fna,70.69,1.72,2190118,29402
TOBG_EAC-43.fna,89.77,3.98,6799140,22652
TOBG_EAC-41.fna,90.33,0.93,4077124,92717
TOBG_EAC-40.fna,69.16,1.07,1320246,22531
TOBG_EAC-4.fna,84.72,4.67,4297994,22070
TOBG_EAC-38.fna,73.39,1.08,1329794,17270
TOBG_EAC-37.fna,92.15,1.89,3728455,44577
