genome,completeness,contamination,length,N50,centrality
TOBG_CPC-21.fna,100.0,1.0,6500284.0,141498.0,0.9785919999999999
TOBG_CPC-20.fna,82.65,4.98,2506802.0,16189.0,0.0
TOBG_CPC-2.fna,98.7,0.73,4982846.0,126384.0,0.0
TOBG_CPC-19.fna,99.04,0.61,6558740.0,110406.0,0.997062
TOBG_CPC-18.fna,51.72,0.0,,,0.0
TOBG_CPC-17.fna,97.44,0.54,4947698.0,121050.0,0.0
TOBG_CPC-16.fna,71.9,0.0,,,0.0
TOBG_CPC-15.fna,67.71,0.0,,,0.0
TOBG_CPC-1469.fna,65.86,1.34,,,0.0
TOBG_CPC-1462.fna,61.67,2.48,,,0.0
TOBG_CPC-1447.fna,52.44,0.91,,,0.0
TOBG_CPC-1446.fna,67.87,0.0,,,0.0
TOBG_CPC-14.fna,98.9,0.09,2765177.0,139887.0,0.0
TOBG_CPC-1399.fna,75.91,4.7,1895048.0,38203.0,0.0
TOBG_CPC-1397.fna,57.4,3.65,,,0.0
TOBG_CPC-1382.fna,68.1,3.45,,,0.0
TOBG_CPC-1369.fna,57.1,1.14,,,0.0
TOBG_CPC-1365.fna,53.76,3.45,,,0.0
TOBG_CPC-1357.fna,51.01,4.21,,,0.0
TOBG_CPC-1337.fna,58.66,4.84,,,0.0
TOBG_CPC-1328.fna,51.51,1.91,,,0.0
TOBG_CPC-1326.fna,77.95,3.71,1661110.0,12609.0,0.0
TOBG_CPC-13.fna,98.99,1.12,5031000.0,136522.0,0.0
TOBG_CPC-1232.fna,83.64,6.69,1764055.0,15642.0,0.0
TOBG_CPC-12.fna,98.44,3.01,4461979.0,232226.0,0.993263
TOBG_CPC-11.fna,94.98,2.42,3618159.0,47167.0,0.9699875
TOBG_CPC-100.fna,56.57,1.9,,,0.0
TOBG_CPC-10.fna,55.14,0.06,,,0.0
TOBG_CPC-1.fna,86.8,2.75,7287357.0,51250.0,0.0
TOBG_ARS-99.fna,50.47,0.93,,,0.0
TOBG_ARS-98.fna,50.17,0.0,,,0.0
TOBG_ARS-97.fna,50.86,1.72,,,0.0
TOBG_ARS-96.fna,61.73,0.55,,,0.0
TOBG_ARS-95.fna,80.22,4.4,1653466.0,56969.0,0.0
TOBG_CPC-315.fna,51.62,4.14,,,0.0
TOBG_CPC-314.fna,63.79,3.45,,,0.0
TOBG_CPC-313.fna,52.54,2.7,,,0.0
TOBG_CPC-311.fna,64.65,2.99,,,0.0
TOBG_CPC-310.fna,74.77,3.15,,,0.0
TOBG_ARS-94.fna,50.37,1.68,,,0.0
TOBG_ARS-93.fna,98.94,1.91,3480919.0,298914.0,0.0
TOBG_ARS-92.fna,55.76,1.2,,,0.0
TOBG_ARS-91.fna,66.4,1.6,,,0.0
TOBG_ARS-90.fna,88.17,4.3,3375994.0,31493.0,0.0
TOBG_ARS-9.fna,63.79,1.72,,,0.0
TOBG_ARS-89.fna,66.76,1.71,,,0.0
TOBG_ARS-88.fna,66.06,0.84,,,0.0
TOBG_ARS-87.fna,53.87,1.43,,,0.0
TOBG_ARS-86.fna,92.47,0.0,2099918.0,41932.0,0.965773
TOBG_ARS-85.fna,52.02,0.0,,,0.0
TOBG_ARS-84.fna,73.14,0.22,,,0.0
TOBG_ARS-83.fna,65.52,0.0,,,0.0
TOBG_ARS-82.fna,66.89,1.14,,,0.0
TOBG_ARS-81.fna,86.82,4.95,3504672.0,23120.0,0.0
TOBG_ARS-80.fna,63.33,1.66,,,0.0
TOBG_ARS-8.fna,62.87,1.0,,,0.0
TOBG_ARS-79.fna,69.42,0.0,,,0.0
TOBG_ARS-78.fna,50.13,0.0,,,0.0
TOBG_ARS-77.fna,70.87,1.31,,,0.0
TOBG_ARS-76.fna,89.19,1.35,2161033.0,73288.0,0.0
TOBG_ARS-74.fna,74.3,0.0,,,0.0
TOBG_ARS-733.fna,51.57,4.39,,,0.0
TOBG_ARS-73.fna,72.43,0.93,,,0.0
TOBG_ARS-72.fna,54.75,0.93,,,0.0
TOBG_ARS-75.fna,97.41,7.37,4267059.0,48290.0,0.98699
TOBG_ARS-71.fna,93.47,1.37,2375844.0,49784.0,0.0
TOBG_ARS-70.fna,91.09,0.5,3078773.0,44013.0,0.981152
TOBG_ARS-7.fna,97.75,2.72,3736607.0,94554.0,0.0
TOBG_ARS-69.fna,55.49,1.1,,,0.0
TOBG_ARS-68.fna,88.71,1.08,2822307.0,109679.0,0.0
TOBG_ARS-67.fna,89.56,2.4,4278577.0,17800.0,0.0
TOBG_ARS-66.fna,85.68,4.52,4881411.0,21544.0,0.0
TOBG_ARS-65.fna,80.68,0.57,7803558.0,20605.0,0.0
TOBG_ARS-64.fna,66.43,0.0,,,0.0
TOBG_ARS-63.fna,89.08,3.41,3573888.0,29334.0,0.0
TOBG_ARS-62.fna,82.04,2.29,3172120.0,16359.0,0.999101
TOBG_ARS-61.fna,83.27,2.35,5339246.0,12287.0,0.0
TOBG_ARS-60.fna,82.8,1.6,2201713.0,43180.0,0.0
TOBG_ARS-6.fna,63.1,0.0,,,0.0
TOBG_ARS-59.fna,94.86,4.35,2557521.0,51399.0,0.953511
TOBG_ARS-58.fna,65.82,1.44,,,0.0
TOBG_ARS-57.fna,58.8,1.12,,,0.0
TOBG_ARS-56.fna,55.18,0.0,,,0.0
TOBG_ARS-55.fna,54.09,1.98,,,0.0
TOBG_ARS-54.fna,69.16,0.0,,,0.0
TOBG_ARS-52.fna,71.78,0.42,,,0.0
TOBG_ARS-51.fna,98.81,7.14,7646207.0,115470.0,0.983376
TOBG_ARS-50.fna,61.77,0.0,,,0.0
TOBG_ARS-5.fna,88.73,2.37,5608188.0,21974.0,0.0
TOBG_ARS-49.fna,72.66,0.0,,,0.0
TOBG_ARS-48.fna,63.79,0.0,,,0.0
TOBG_ARS-47.fna,58.4,0.0,,,0.0
TOBG_ARS-46.fna,82.32,4.27,2797022.0,57626.0,0.0
TOBG_ARS-45.fna,78.52,0.89,2895142.0,15490.0,0.0
TOBG_ARS-44.fna,53.44,0.0,,,0.0
TOBG_ARS-43.fna,64.8,0.8,,,0.0
TOBG_ARS-42.fna,90.6,2.56,2344814.0,68408.0,0.9886596666666666
TOBG_ARS-41.fna,58.79,1.98,,,0.0
TOBG_ARS-40.fna,97.79,0.68,3949698.0,86692.0,0.972734
TOBG_ARS-4.fna,94.96,3.36,1794382.0,278926.0,0.0
TOBG_ARS-38.fna,98.28,6.9,6172162.0,190325.0,0.99922
TOBG_ARS-37.fna,60.75,1.64,,,0.0
TOBG_ARS-36.fna,68.06,1.94,,,0.0
TOBG_ARS-35.fna,60.19,0.84,,,0.0
TOBG_ARS-34.fna,88.12,2.97,3475445.0,39269.0,0.0
TOBG_ARS-33.fna,84.35,1.32,1970780.0,27617.0,0.0
TOBG_ARS-31.fna,85.24,4.13,4285735.0,31855.0,0.0
TOBG_ARS-30.fna,81.99,1.35,1842633.0,19780.0,0.9653365
TOBG_ARS-3.fna,97.95,3.32,4499202.0,353444.0,0.0
TOBG_ARS-29.fna,95.73,7.32,2266513.0,62528.0,0.980033
TOBG_ARS-27.fna,86.43,3.84,1570280.0,19558.0,0.0
TOBG_ARS-26.fna,50.79,0.93,,,0.0
TOBG_ARS-25.fna,50.86,1.72,,,0.0
TOBG_ARS-24.fna,89.41,4.98,2473458.0,22174.0,0.9817425000000001
TOBG_ARS-23.fna,57.32,0.0,,,0.0
TOBG_ARS-22.fna,68.71,1.7,,,0.0
TOBG_ARS-21.fna,52.8,0.0,,,0.0
TOBG_ARS-20.fna,61.36,0.86,,,0.0
TOBG_ARS-2.fna,62.8,1.06,,,0.0
TOBG_ARS-19.fna,68.36,0.39,,,0.0
TOBG_ARS-17.fna,95.73,6.25,4716224.0,88603.0,0.0
TOBG_ARS-16.fna,94.61,3.14,3159885.0,28407.0,0.0
TOBG_ARS-15.fna,97.85,2.69,5071824.0,97315.0,0.0
TOBG_ARS-1441.fna,77.57,0.0,857738.0,17470.0,0.0
TOBG_ARS-1434.fna,75.31,0.0,5822363.0,27159.0,0.0
TOBG_ARS-1427.fna,72.43,0.0,,,0.0
TOBG_ARS-1426.fna,90.6,1.28,1849034.0,78225.0,0.0
TOBG_ARS-1420.fna,51.44,0.0,,,0.0
TOBG_ARS-1419.fna,72.04,0.93,,,0.0
TOBG_ARS-1414.fna,73.36,1.87,,,0.0
TOBG_ARS-1403.fna,65.42,0.0,,,0.0
TOBG_ARS-14.fna,73.14,1.79,,,0.0
TOBG_ARS-1394.fna,51.82,2.07,,,0.0
TOBG_ARS-1386.fna,72.31,1.12,,,0.0
TOBG_ARS-1360.fna,84.77,0.0,591505.0,52728.0,0.0
TOBG_ARS-1358.fna,89.72,1.87,666542.0,79789.0,0.0
TOBG_ARS-1334.fna,64.09,0.93,,,0.0
TOBG_ARS-1333.fna,55.09,2.3,,,0.0
TOBG_ARS-1330.fna,85.48,0.99,1330181.0,46014.0,0.0
TOBG_ARS-1318.fna,53.66,2.8,,,0.0
TOBG_ARS-1310.fna,54.85,1.85,,,0.0
TOBG_ARS-1309.fna,59.5,2.8,,,0.0
TOBG_ARS-1307.fna,74.69,0.93,,,0.0
TOBG_ARS-1301.fna,65.42,0.0,,,0.0
TOBG_ARS-13.fna,97.32,4.46,3792666.0,93829.0,0.999445
TOBG_ARS-1298.fna,52.41,0.0,,,0.0
TOBG_ARS-1297.fna,71.61,0.87,,,0.0
TOBG_ARS-1290.fna,52.96,0.0,,,0.0
TOBG_ARS-1286.fna,67.76,0.0,,,0.0
TOBG_ARS-1285.fna,65.97,0.65,,,0.0
TOBG_ARS-1279.fna,79.43,3.24,2605961.0,41005.0,0.0
TOBG_ARS-125.fna,74.24,2.25,,,0.0
TOBG_ARS-1246.fna,50.91,0.0,,,0.0
TOBG_ARS-124.fna,50.48,3.3,,,0.0
TOBG_ARS-123.fna,77.69,2.56,1860870.0,17964.0,0.9702526666666668
TOBG_ARS-1224.fna,53.72,0.0,,,0.0
TOBG_ARS-1215.fna,74.67,2.14,,,0.0
TOBG_ARS-121.fna,66.71,3.61,,,0.0
TOBG_ARS-1203.fna,74.3,0.93,,,0.0
TOBG_ARS-120.fna,89.55,8.73,6237844.0,43865.0,0.0
TOBG_ARS-12.fna,55.28,1.72,,,0.0
TOBG_ARS-1199.fna,86.21,0.0,912474.0,95926.0,0.0
TOBG_ARS-1193.fna,61.52,1.38,,,0.0
TOBG_ARS-1183.fna,59.08,1.1,,,0.0
TOBG_ARS-1180.fna,65.81,1.87,,,0.0
TOBG_ARS-118.fna,50.4,3.2,,,0.0
TOBG_ARS-1178.fna,64.64,1.87,,,0.0
TOBG_ARS-1176.fna,78.5,1.87,962007.0,37593.0,0.0
TOBG_ARS-1172.fna,61.84,0.0,,,0.0
TOBG_ARS-117.fna,73.85,3.41,,,0.0
TOBG_ARS-1168.fna,75.41,0.0,1197590.0,36887.0,0.0
TOBG_ARS-1160.fna,69.24,0.93,,,0.0
TOBG_ARS-116.fna,62.23,4.07,,,0.0
TOBG_ARS-115.fna,76.81,3.51,2466433.0,29090.0,0.982077
TOBG_ARS-1134.fna,73.14,0.8,,,0.0
TOBG_ARS-113.fna,50.86,2.05,,,0.0
TOBG_ARS-1126.fna,53.97,0.0,,,0.0
TOBG_ARS-112.fna,91.38,8.62,3496537.0,220152.0,0.9991525
TOBG_ARS-11.fna,100.0,6.7,2876821.0,429745.0,0.0
TOBG_ARS-109.fna,63.82,4.21,,,0.0
TOBG_ARS-108.fna,67.13,4.67,,,0.0
TOBG_ARS-106.fna,68.69,1.87,,,0.0
TOBG_ARS-105.fna,62.04,1.37,,,0.0
TOBG_ARS-1043.fna,62.41,3.0,,,0.0
TOBG_ARS-1041.fna,52.32,3.74,,,0.0
TOBG_ARS-104.fna,71.69,1.03,,,0.0
TOBG_ARS-1039.fna,68.64,2.85,,,0.0
TOBG_ARS-1037.fna,74.52,4.13,,,0.0
TOBG_ARS-1036.fna,93.52,5.71,2845516.0,31600.0,0.0
TOBG_ARS-1035.fna,65.2,2.2,,,0.0
TOBG_ARS-1034.fna,90.29,5.21,1862734.0,38545.0,0.9517169999999999
TOBG_ARS-1033.fna,55.19,2.35,,,0.0
TOBG_ARS-1032.fna,91.84,6.52,4311850.0,21107.0,0.0
TOBG_ARS-1030.fna,90.6,6.32,2624467.0,29545.0,0.972538
TOBG_ARS-103.fna,60.98,0.93,,,0.0
TOBG_ARS-1029.fna,50.52,2.2,,,0.0
TOBG_ARS-1028.fna,52.43,4.61,,,0.0
TOBG_ARS-1026.fna,57.43,3.61,,,0.0
TOBG_ARS-1025.fna,69.2,2.4,,,0.0
TOBG_ARS-1024.fna,51.82,3.28,,,0.0
TOBG_ARS-1023.fna,50.48,2.3,,,0.0
TOBG_ARS-1020.fna,55.1,2.59,,,0.0
TOBG_ARS-102.fna,84.03,0.0,864511.0,56427.0,0.0
TOBG_ARS-1019.fna,88.66,5.9,2260210.0,51072.0,0.0
TOBG_ARS-1018.fna,76.79,3.27,1897616.0,17833.0,0.0
TOBG_ARS-1016.fna,52.66,3.01,,,0.0
TOBG_ARS-1015.fna,64.25,3.84,,,0.0
TOBG_ARS-1013.fna,59.98,4.55,,,0.0
TOBG_ARS-1012.fna,91.25,6.81,3364764.0,43231.0,0.0
TOBG_ARS-1011.fna,51.34,2.11,,,0.0
TOBG_ARS-101.fna,65.6,1.74,,,0.0
TOBG_ARS-1009.fna,80.9,9.11,3161987.0,32200.0,0.9683363333333332
TOBG_ARS-1008.fna,57.59,2.36,,,0.0
TOBG_ARS-1007.fna,69.59,2.43,,,0.0
TOBG_ARS-1005.fna,54.3,4.8,,,0.0
TOBG_ARS-1004.fna,72.61,3.89,,,0.0
TOBG_ARS-100.fna,72.06,1.78,,,0.0
TOBG_ARS-10.fna,52.96,0.0,,,0.0
TOBG_ARS-1.fna,97.19,9.64,1300718.0,30360.0,0.0
TOBG_MED-755.fna,65.48,0.43,,,0.0
TOBG_MED-754.fna,72.59,1.91,,,0.0
TOBG_MED-753.fna,76.94,1.14,1158543.0,65177.0,0.0
TOBG_MED-752.fna,94.79,2.97,2544706.0,226054.0,0.0
TOBG_MED-745.fna,80.24,1.68,3122797.0,18715.0,0.0
TOBG_MED-743.fna,82.93,4.0,1937646.0,44000.0,0.0
TOBG_MED-740.fna,78.96,1.94,945636.0,32293.0,0.0
TOBG_MED-739.fna,95.77,5.41,1312757.0,49477.0,0.0
TOBG_MED-732.fna,80.34,4.61,1594489.0,32535.0,0.0
TOBG_MED-730.fna,90.94,3.18,1478775.0,41153.0,0.0
TOBG_MED-728.fna,98.1,1.27,5163516.0,161090.0,0.0
TOBG_MED-727.fna,61.45,1.2,,,0.0
TOBG_MED-725.fna,72.19,0.0,,,0.0
TOBG_MED-724.fna,54.39,0.0,,,0.0
TOBG_MED-742.fna,50.38,1.81,,,0.0
TOBG_MED-723.fna,51.66,0.0,,,0.0
TOBG_MED-722.fna,53.8,0.0,,,0.0
TOBG_MED-721.fna,77.47,1.1,1717845.0,46047.0,0.0
TOBG_MED-719.fna,86.49,2.27,4083318.0,165518.0,0.0
TOBG_MED-620.fna,91.09,1.75,2975145.0,55246.0,0.0
TOBG_MED-717.fna,86.02,4.35,1636955.0,81903.0,0.0
TOBG_MED-716.fna,95.85,0.5,3026532.0,224842.0,0.0
TOBG_MED-715.fna,94.51,1.1,1307145.0,36261.0,0.0
TOBG_MED-714.fna,63.74,1.1,,,0.0
TOBG_MED-711.fna,65.2,0.68,,,0.0
TOBG_MED-709.fna,54.2,0.31,,,0.0
TOBG_MED-708.fna,94.32,4.08,3470013.0,30393.0,0.0
TOBG_MED-707.fna,75.2,0.0,1679080.0,29043.0,0.0
TOBG_MED-705.fna,74.53,0.0,,,0.0
TOBG_MED-704.fna,88.97,0.0,1381658.0,55811.0,0.969716
TOBG_MED-703.fna,90.91,3.41,1937263.0,31039.0,0.0
TOBG_MED-702.fna,93.99,2.87,3141579.0,35583.0,0.983397
TOBG_MED-701.fna,54.94,0.74,,,0.0
TOBG_MED-700.fna,59.28,0.0,,,0.0
TOBG_MED-699.fna,54.67,1.6,,,0.0
TOBG_MED-698.fna,89.88,2.53,3208409.0,59504.0,0.0
TOBG_MED-697.fna,88.6,4.71,7781614.0,34947.0,0.0
TOBG_MED-694.fna,83.61,0.84,1611850.0,23603.0,0.0
TOBG_MED-692.fna,92.2,1.08,2388848.0,40344.0,0.968483
TOBG_MED-690.fna,90.51,1.88,2419185.0,106385.0,0.0
TOBG_MED-689.fna,84.62,3.3,1356840.0,27267.0,0.0
TOBG_MED-688.fna,58.58,1.97,,,0.0
TOBG_MED-687.fna,65.68,1.99,,,0.0
TOBG_MED-686.fna,53.27,1.8,,,0.0
TOBG_MED-685.fna,59.8,0.57,,,0.0
TOBG_MED-683.fna,63.34,0.0,,,0.0
TOBG_MED-682.fna,83.15,3.7,2597858.0,26525.0,0.0
TOBG_MED-681.fna,61.52,0.0,,,0.0
TOBG_MED-680.fna,50.67,0.93,,,0.0
TOBG_MED-678.fna,56.74,0.8,,,0.0
TOBG_MED-675.fna,64.08,1.41,,,0.0
TOBG_MED-674.fna,89.97,3.5,3481335.0,28322.0,0.0
TOBG_MED-672.fna,81.24,4.84,4043459.0,26246.0,0.0
TOBG_MED-670.fna,70.57,1.69,,,0.0
TOBG_MED-669.fna,55.94,1.3,,,0.0
TOBG_MED-668.fna,92.78,1.68,4366947.0,68219.0,0.0
TOBG_MED-667.fna,78.11,1.12,1711098.0,21872.0,0.0
TOBG_MED-665.fna,96.09,2.46,4964254.0,39645.0,0.0
TOBG_MED-664.fna,59.13,0.44,,,0.0
TOBG_MED-663.fna,54.31,0.86,,,0.0
TOBG_MED-662.fna,60.68,0.91,,,0.0
TOBG_MED-661.fna,97.58,2.35,7093371.0,73101.0,0.0
TOBG_MED-660.fna,90.65,1.94,4558888.0,62714.0,0.0
TOBG_MED-657.fna,97.8,1.28,2028597.0,165270.0,0.0
TOBG_MED-656.fna,65.68,1.52,,,0.0
TOBG_MED-653.fna,93.94,0.42,3491745.0,217677.0,0.0
TOBG_MED-652.fna,98.9,5.49,1685264.0,38666.0,0.0
TOBG_MED-650.fna,80.15,4.57,1803804.0,24584.0,0.0
TOBG_MED-649.fna,92.95,4.55,1361524.0,46682.0,0.0
TOBG_MED-648.fna,87.91,1.1,2229105.0,23277.0,0.0
TOBG_MED-647.fna,69.78,0.0,,,0.0
TOBG_MED-646.fna,60.0,1.89,,,0.0
TOBG_MED-644.fna,58.17,1.87,,,0.0
TOBG_MED-642.fna,53.19,1.61,,,0.0
TOBG_MED-641.fna,88.45,1.68,1402833.0,49369.0,0.0
TOBG_MED-640.fna,50.66,0.81,,,0.0
TOBG_MED-639.fna,56.43,1.1,,,0.0
TOBG_MED-638.fna,58.06,1.61,,,0.0
TOBG_MED-636.fna,82.04,4.76,2959024.0,32368.0,0.0
TOBG_MED-635.fna,75.74,0.68,2720828.0,26900.0,0.985993
TOBG_MED-634.fna,53.58,1.76,,,0.0
TOBG_MED-633.fna,98.42,0.88,3500593.0,55033.0,0.9718729999999999
TOBG_MED-631.fna,66.03,0.85,,,0.0
TOBG_MED-630.fna,83.56,2.19,1285346.0,23880.0,0.0
TOBG_MED-628.fna,50.85,0.85,,,0.0
TOBG_MED-626.fna,80.2,2.1,1193441.0,23640.0,0.0
TOBG_MED-625.fna,62.67,2.0,,,0.0
TOBG_MED-624.fna,99.45,5.03,3706908.0,306938.0,0.0
TOBG_MED-621.fna,91.4,2.47,2236066.0,32654.0,0.972649
TOBG_MED-618.fna,57.79,1.75,,,0.0
TOBG_MED-617.fna,94.51,4.52,1380858.0,31959.0,0.0
TOBG_MED-616.fna,85.78,3.27,2163699.0,51815.0,0.957392
TOBG_MED-615.fna,76.71,1.12,1657217.0,30889.0,0.0
TOBG_MED-612.fna,58.09,1.32,,,0.0
TOBG_MED-611.fna,79.3,1.33,2063334.0,21957.0,0.0
TOBG_MED-610.fna,87.34,2.55,3904643.0,51041.0,0.0
TOBG_MED-608.fna,81.76,2.84,2883302.0,30906.0,0.0
TOBG_MED-607.fna,66.99,1.91,,,0.0
TOBG_MED-606.fna,70.2,0.0,,,0.0
TOBG_MED-605.fna,91.57,3.61,1605601.0,33183.0,0.0
TOBG_MED-604.fna,90.64,3.35,2479522.0,68623.0,0.0
TOBG_MED-603.fna,84.85,2.24,2098250.0,25565.0,0.0
TOBG_MED-602.fna,96.43,2.38,1879045.0,64415.0,0.0
TOBG_MED-599.fna,94.44,4.4,4811953.0,28937.0,0.97368
TOBG_MED-595.fna,85.39,1.74,2124773.0,19179.0,0.0
TOBG_MED-592.fna,88.76,2.72,3852236.0,24550.0,0.0
TOBG_MED-589.fna,95.6,3.85,2909735.0,62825.0,0.0
TOBG_MED-587.fna,99.13,0.0,3619760.0,2086508.0,0.999747
TOBG_MED-586.fna,74.31,0.0,,,0.0
TOBG_MED-585.fna,85.02,3.41,2035001.0,32862.0,0.0
TOBG_MED-584.fna,72.96,1.11,,,0.0
TOBG_MED-583.fna,60.82,1.08,,,0.0
TOBG_MED-581.fna,75.83,1.37,2357711.0,22747.0,0.0
TOBG_MED-580.fna,80.92,4.01,4534432.0,24835.0,0.0
TOBG_MED-569.fna,54.7,4.35,,,0.0
TOBG_MED-798.fna,66.09,4.51,,,0.0
TOBG_MED-215.fna,50.09,4.01,,,0.0
TOBG_MED-211.fna,52.0,3.2,,,0.0
TOBG_MED-203.fna,57.3,4.31,,,0.0
TOBG_MED-195.fna,56.63,2.31,,,0.0
TOBG_MED-191.fna,51.04,3.19,,,0.0
TOBG_MED-139.fna,52.4,1.09,,,0.0
TOBG_MED-613.fna,70.0,1.67,,,0.0
TOBG_MED-1261.fna,78.93,4.06,1324308.0,22084.0,0.0
TOBG_MED-1257.fna,69.45,3.73,,,0.0
TOBG_MED-1250.fna,50.57,3.07,,,0.0
TOBG_MED-124.fna,51.66,3.84,,,0.0
TOBG_MED-1227.fna,83.27,6.81,2077567.0,29528.0,0.0
TOBG_MED-1222.fna,55.36,0.37,,,0.0
TOBG_MED-1190.fna,89.75,8.28,1861042.0,53051.0,0.0
TOBG_MED-1178.fna,50.48,4.3,,,0.0
TOBG_MED-1153.fna,84.9,6.02,1024810.0,21202.0,0.0
TOBG_MED-1131.fna,55.51,2.83,,,0.0
TOBG_MED-1116.fna,86.9,1.19,870948.0,49855.0,0.0
TOBG_MED-1094.fna,86.81,6.09,1650114.0,89526.0,0.0
TOBG_MED-1093.fna,84.93,7.47,2110723.0,110700.0,0.0
TOBG_MED-1079.fna,65.87,2.91,,,0.0
TOBG_MED-105.fna,61.36,1.59,,,0.0
TOBG_MED-1046.fna,52.62,0.0,,,0.0
TOBG_MED-104.fna,70.41,2.91,,,0.0
TOBG_MED-1036.fna,57.89,3.51,,,0.0
TOBG_MED-1008.fna,80.17,9.56,1858573.0,30247.0,0.0
TOBG_MED-1003.fna,58.31,4.82,,,0.0
TOBG_MED-1001.fna,81.58,5.19,1517519.0,57356.0,0.0
TOBG_IN-961.fna,72.4,0.8,,,0.0
TOBG_IN-930.fna,53.37,2.4,,,0.0
TOBG_IN-929.fna,73.78,4.83,,,0.0
TOBG_IN-928.fna,87.08,6.38,3042430.0,28205.0,0.9741700000000001
TOBG_IN-926.fna,61.08,4.44,,,0.0
TOBG_IN-924.fna,92.31,8.12,1977255.0,50168.0,0.963492
TOBG_IN-922.fna,71.21,2.5,,,0.0
TOBG_IN-921.fna,85.61,6.08,2381509.0,26260.0,0.0
TOBG_IN-919.fna,73.08,4.13,,,0.0
TOBG_IN-918.fna,72.0,4.8,,,0.0
TOBG_IN-913.fna,64.8,4.06,,,0.0
TOBG_IN-912.fna,73.45,3.44,,,0.0
TOBG_IN-9.fna,87.23,1.52,3250345.0,15675.0,0.99577
TOBG_IN-8.fna,97.25,3.9,4158998.0,32140.0,0.0
TOBG_IN-6.fna,99.54,7.76,5207492.0,60355.0,0.980552
TOBG_IN-5.fna,100.0,5.14,3129546.0,236715.0,0.9954230000000001
TOBG_IN-49.fna,57.62,0.0,,,0.0
TOBG_IN-48.fna,94.59,4.39,2881995.0,33175.0,0.0
TOBG_IN-47.fna,82.56,3.17,2211714.0,12279.0,0.0
TOBG_IN-46.fna,63.25,1.6,,,0.0
TOBG_IN-45.fna,66.57,0.65,,,0.0
TOBG_IN-44.fna,68.62,1.3,,,0.0
TOBG_IN-43.fna,86.86,2.07,1937213.0,33716.0,0.9614275
TOBG_IN-42.fna,87.12,0.0,2564331.0,22184.0,0.0
TOBG_IN-41.fna,55.6,1.48,,,0.0
TOBG_IN-40.fna,81.22,0.51,2046638.0,10140.0,0.984777
TOBG_IN-4.fna,62.71,1.46,,,0.0
TOBG_IN-39.fna,59.82,1.56,,,0.0
TOBG_IN-38.fna,58.89,0.71,,,0.0
TOBG_IN-37.fna,71.64,0.93,,,0.0
TOBG_IN-36.fna,68.47,0.86,,,0.0
TOBG_IN-35.fna,84.13,2.8,1984466.0,32599.0,0.0
TOBG_IN-34.fna,56.14,1.33,,,0.0
TOBG_IN-33.fna,63.87,0.8,,,0.0
TOBG_IN-32.fna,85.42,3.99,3934638.0,26326.0,0.0
TOBG_IN-31.fna,51.81,0.0,,,0.0
TOBG_IN-30.fna,53.49,1.05,,,0.0
TOBG_IN-3.fna,99.21,0.41,3810898.0,39667.0,0.0
TOBG_IN-29.fna,93.93,0.69,3333257.0,73030.0,0.0
TOBG_IN-28.fna,98.28,2.82,3890003.0,388436.0,0.0
TOBG_IN-27.fna,71.5,0.27,,,0.0
TOBG_IN-26.fna,63.45,1.74,,,0.0
TOBG_IN-25.fna,95.71,2.15,2931884.0,50790.0,0.0
TOBG_IN-24.fna,50.64,1.65,,,0.0
TOBG_IN-23.fna,83.4,2.74,3576760.0,10720.0,0.988212
TOBG_IN-22.fna,98.7,3.08,2725312.0,140344.0,0.0
TOBG_IN-21.fna,98.7,0.43,3599778.0,220673.0,0.0
TOBG_IN-20.fna,96.7,7.75,3227423.0,75294.0,0.9959045
TOBG_IN-2.fna,84.01,1.54,4041355.0,13715.0,0.0
TOBG_IN-19.fna,98.01,3.48,4539979.0,69207.0,0.0
TOBG_IN-18.fna,100.0,8.46,4458856.0,91110.0,0.9984355
TOBG_IN-17.fna,97.58,0.0,3240799.0,85929.0,0.991428
TOBG_IN-16.fna,81.74,3.3,2855862.0,10804.0,0.0
TOBG_IN-15.fna,81.91,3.04,2745037.0,10059.0,0.974162
TOBG_IN-14.fna,98.27,6.32,4072573.0,106686.0,0.0
TOBG_IN-1311.fna,80.34,9.4,2592032.0,34766.0,0.0
TOBG_IN-13.fna,100.0,2.82,4878186.0,106766.0,0.9983995
TOBG_IN-1222.fna,69.73,2.4,,,0.0
TOBG_IN-1219.fna,67.73,0.0,,,0.0
TOBG_IN-1214.fna,67.52,1.28,,,0.0
TOBG_IN-1213.fna,82.83,1.28,1920553.0,22455.0,0.9699696666666666
TOBG_IN-12.fna,91.79,0.49,3065870.0,42021.0,0.990246
TOBG_IN-11.fna,99.51,4.51,5809545.0,137020.0,0.9877413333333332
TOBG_IN-1093.fna,58.62,2.3,,,0.0
TOBG_IN-1073.fna,64.11,1.72,,,0.0
TOBG_IN-1003.fna,55.14,2.59,,,0.0
TOBG_IN-1000.fna,53.76,0.05,,,0.0
TOBG_IN-10.fna,99.61,0.0,3953385.0,618516.0,0.9998849999999999
TOBG_IN-1.fna,83.1,1.83,3834435.0,15309.0,0.0
TOBG_EAC-98.fna,95.76,4.42,4023093.0,172292.0,0.99636
TOBG_EAC-97.fna,80.45,2.65,2112212.0,81064.0,0.981724
TOBG_EAC-96.fna,69.65,0.0,,,0.0
TOBG_EAC-95.fna,99.5,2.75,2990433.0,217560.0,0.997577
TOBG_EAC-94.fna,99.78,0.43,3800706.0,216328.0,0.972121
